state,date,zhvi,RegionID,SizeRank,RegionType,StateName,mortgage_rate,cpi,unemployment_rate,median_household_income,monthly_rate,loan_amount,monthly_payment,monthly_income,affordability_ratio
Alabama,2007-11-30,139406.694894218,4,23,state,,6.208,210.834,4.7,73010.0,0.005173333333333334,111525.35591537441,823.0439627597307,6084.166666666667,7.392274218579991
Alabama,2007-12-31,139309.42825197848,4,23,state,,6.095,211.445,5.0,73010.0,0.005079166666666667,111447.54260158278,814.3158314146502,6084.166666666667,7.4715072849524455
Alabama,2008-01-31,139098.22057680358,4,23,state,,5.758,212.174,5.0,70520.0,0.004798333333333333,111278.57646144286,789.0554269386669,5876.666666666667,7.447723526174365
Alabama,2008-02-29,138883.03124061358,4,23,state,,5.9175,212.687,4.9,70520.0,0.004931250000000001,111106.42499249087,799.1404759146121,5876.666666666667,7.353734222936027
Alabama,2008-03-31,138635.0609070035,4,23,state,,5.97,213.448,5.1,70520.0,0.004974999999999999,110908.0487256028,801.4472132056754,5876.666666666667,7.332568595704303
Alabama,2008-04-30,138448.97248197874,4,23,state,,5.9175,213.942,5.0,70520.0,0.004931250000000001,110759.177985583,796.6428783330228,5876.666666666667,7.376789307353888
Alabama,2008-05-31,138329.32874539247,4,23,state,,6.036,215.208,5.4,70520.0,0.00503,110663.46299631399,804.3761838702874,5876.666666666667,7.305868553182239
Alabama,2008-06-30,138313.08038109526,4,23,state,,6.32,217.463,5.6,70520.0,0.005266666666666667,110650.46430487622,824.6525480670788,5876.666666666667,7.1262335639914225
Alabama,2008-07-31,138259.65128905245,4,23,state,,6.425999999999999,219.016,5.8,70520.0,0.0053549999999999995,110607.72103124196,832.0015446213708,5876.666666666667,7.063288168943284
Alabama,2008-08-31,138017.15635726074,4,23,state,,6.4775,218.69,6.1,70520.0,0.005397916666666666,110413.7250858086,834.2740010226861,5876.666666666667,7.044048669217567
Alabama,2008-09-30,137721.66776710117,4,23,state,,6.0375,218.877,6.1,70520.0,0.00503125,110177.33421368094,800.9491102143145,5876.666666666667,7.337128653647189
Alabama,2008-10-31,137303.55388027374,4,23,state,,6.2,216.995,6.5,70520.0,0.005166666666666667,109842.843104219,810.0568918166555,5876.666666666667,7.254634490532505
Alabama,2008-11-30,136945.308629896,4,23,state,,6.0875,213.153,6.8,70520.0,0.005072916666666667,109556.2469039168,799.9661405948914,5876.666666666667,7.3461442534261625
